Category
"ConvertedDataset,Sector: Metals"
"combined production,Sector: Chemicals"
"ConvertedDataset,Sector: Metals"
"fossil fuels,industrial gas power,Sector: Electricity; Waste Treatment & Recycling; Heat"
"WFLDB,Sector: Land Use"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"coal power,lignite power,fossil fuels,Sector: Heat; Electricity"
"fossil fuels,natural gas power,Sector: Heat; Electricity"
"combined production,Sector: Agriculture & Animal Husbandry"
"BRLUC,Sector: Land Use"
"coal power,United States,fossil fuels,lignite power,Sector: Electricity"
"Concentrated Solar Power,CSP,Sector: Electricity"
"ConvertedDataset,Sector: Chemicals; Agriculture & Animal Husbandry"
"linking activity,Sector: Transport"
"ConvertedDataset,Sector: Fuels; Chemicals"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"combined production,Sector: Cement & Concrete"
"natural gas power,fossil fuels,Sector: Heat; Electricity"
"ConvertedDataset,Sector: Fuels"
"ConvertedDataset,Sector: Infrastructure & Machinery; Heat"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"combined production,Sector: Forestry; Wood"
"Swiss brush-up completed,Sector: Wood"
"hydro power,Sector: Electricity"
"photovoltaic power,Sector: Electricity"
"ConvertedDataset,Sector: Chemicals"
"BRLUC,Sector: Land Use"
"ConvertedDataset,Sector: Electronics"
"WFLDB,Sector: Agriculture & Animal Husbandry"
"ConvertedDataset,Sector: Chemicals; Fuels"
"biogas power,with true value,Sector: Waste Treatment & Recycling; Heat; Electricity"
"fossil fuels,coal power,hard coal power,Sector: Heat; Electricity"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"BRLUC,Sector: Land Use"
"ConvertedDataset,Sector: Metals"
"ConvertedDataset,Sector: Infrastructure & Machinery; Transport"
"ConvertedDataset,Sector: Resource Extraction; Fuels"
"ConvertedDataset,Sector: Infrastructure & Machinery; Heat; Electricity"
"ConvertedDataset,Sector: Cement & Concrete"
"ConvertedDataset,Sector: Infrastructure & Machinery; Agriculture & Animal Husbandry"
"fossil fuels,consequential version only,marginal,oil power,Sector: Electricity"
"ConvertedDataset,Sector: Chemicals; Electronics"
"ConvertedDataset,Sector: Fuels; Chemicals"
"natural gas power,fossil fuels,Canada,Sector: Electricity"
"ConvertedDataset,Sector: Metals"
"fossil fuels,coal power,hard coal power,Sector: Heat; Electricity"
"ConvertedDataset,Sector: Infrastructure & Machinery"
"combined production,Sector: Resource Extraction; Metals"
"with true value,ConvertedDataset,Sector: Heat"
"photovoltaic power,Sector: Electricity"
"natural gas power,fossil fuels,India,Sector: Electricity"
"BRLUC,Sector: Land Use"
"BRLUC,Sector: Land Use"
"natural gas power,fossil fuels,Sector: Heat; Electricity"
"ConvertedDataset,Sector: Metals"
"Treatment,ConvertedDataset,Sector: Waste Treatment & Recycling"
"wind power,China,Sector: Electricity"
"photovoltaic power,Sector: Electricity"
"recontextualization,Sector: Metals"
"fossil fuels,oil power,India,Sector: Electricity"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"coal power,fossil fuels,hard coal power,Sector: Electricity"
"BRLUC,Sector: Land Use"
"BRLUC,Sector: Land Use"
"recontextualization,Sector: Water Supply"
"Canada,Sector: Electricity"
"photovoltaic power,China,Sector: Electricity"
"ConvertedDataset,Sector: Fuels"
"single enterprise data,Sector: Infrastructure & Machinery; Wood"
"ConvertedDataset,Sector: Metals"
"photovoltaic power,Sector: Electricity"
"ConvertedDataset,Sector: Cement & Concrete"
"ConvertedDataset,Sector: Wood"
"No,Sector: Agriculture & Animal Husbandry"
"No,Sector: Agriculture & Animal Husbandry"
"photovoltaic power,Sector: Electricity"
"ConvertedDataset,Sector: Chemicals"
"ConvertedDataset,Sector: Chemicals"
"ConvertedDataset,Sector: Chemicals"
"wood power,with true value,Sector: Heat; Electricity"
"Concentrated Solar Power,CSP,Sector: Infrastructure & Machinery; Electricity"
"biomass power,Sector: Infrastructure & Machinery; Heat"
"hydro power,Sector: Electricity"
"ConvertedDataset,Sector: Metals"
" geothermal power,Infrastructure,Sector: Resource Extraction; Electricity"
"oil power,fossil fuels,Sector: Heat; Electricity"
"ConvertedDataset,Sector: Chemicals"
"ConvertedDataset, Treatment,Sector: Waste Treatment & Recycling"
"Swiss brush-up completed,Sector: Wood"
"hydro power,Sector: Electricity"
"wind power,China,Sector: Electricity"
"oil power,fossil fuels,Sector: Heat; Electricity"
"BRLUC,Sector: Land Use"
"ConvertedDataset,Sector: Metals"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"ConvertedDataset,Sector: Metals"
"ConvertedDataset,Sector: Minerals; Cement & Concrete"
"ConvertedDataset,Sector: Infrastructure & Machinery"
"ConvertedDataset,Sector: Transport"
"photovoltaic power,Sector: Electricity"
"oil power,fossil fuels,United States,Sector: Heat; Electricity"
"BRLUC,Sector: Land Use"
"fossil fuels,industrial gas power,Sector: Electricity; Waste Treatment & Recycling; Heat"
"Swiss brush-up completed,Sector: Wood"
"ConvertedDataset,Sector: Waste Treatment & Recycling; Infrastructure & Machinery"
"ConvertedDataset,Sector: Wood"
"re-labelling activity,electricity, primary aluminium industry,Sector: Electricity; Metals"
"wind power,Canada,Sector: Electricity"
"with true value,Sector: Waste Treatment & Recycling; Heat; Electricity"
"ConvertedDataset,Sector: Cement & Concrete"
"ConvertedDataset,Sector: Infrastructure & Machinery"
"Canada,single enterprise data,photovoltaic power,Sector: Electricity"
"ConvertedDataset,Sector: Metals"
"WFLDB,Sector: Land Use"
"United States,hydro power,Sector: Electricity"
"geothermal power,Sector: Electricity"
"fossil fuels,Sector: Electricity"
"oil power,fossil fuels,Sector: Heat; Electricity"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"ConvertedDataset,Sector: Infrastructure & Machinery; Resource Extraction"
"marginal,consequential version only,oil power,fossil fuels,Sector: Electricity"
"ConvertedDataset,photovoltaic power,Sector: Electricity"
"ConvertedDataset,Sector: Metals"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"combined production,Sector: Agriculture & Animal Husbandry"
"ConvertedDataset,Sector: Chemicals"
"ConvertedDataset,Sector: Chemicals"
"ConvertedDataset,Sector: Metals"
"wood power,with true value,United States,Sector: Heat; Electricity"
"ConvertedDataset,Sector: Metals"
"ConvertedDataset,Sector: Resource Extraction; Metals"
"WFLDB,Sector: Agriculture & Animal Husbandry"
"natural gas power,with true value,fossil fuels,Sector: Heat; Electricity"
"with true value,ConvertedDataset,Sector: Electricity; Heat"
"fossil fuels,natural gas power,Sector: Electricity"
"with true value,wood power,Sector: Heat; Electricity"
"ConvertedDataset,Sector: Resource Extraction; Minerals; Cement & Concrete"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"wind power,Sector: Electricity"
"combined production,Sector: Resource Extraction; Minerals; Cement & Concrete"
"ConvertedDataset,Sector: Infrastructure & Machinery; Chemicals"
"ConvertedDataset,Sector: Agriculture & Animal Husbandry"
"ConvertedDataset,Sector: Chemicals"
"fossil fuels,industrial gas power,Sector: Electricity; Waste Treatment & Recycling; Heat"
"WFLDB,Sector: Land Use"
"BRLUC,Sector: Land Use"
"ConvertedDataset,Sector: Infrastructure & Machinery; Transport"
"ConvertedDataset,Sector: Fuels"
"ConvertedDataset,Sector: Waste Treatment & Recycling"
"Treatment, ConvertedDataset,Sector: Waste Treatment & Recycling"
